'country_name',year,'ladder_score',upperwhisker,lowerwhisker,'log_gdp_per_capita','social_support','healthy_life_expectancy','freedom_to_make_life_choices','generosity','perceptions_of_corruption'
Jamaica,2022,5.703,5.876,5.529,1.305,1.329,0.411,0.587,0.079,0.039
Jamaica,2021,5.85,6.023,5.676,1.296,1.045,0.646,0.567,0.08,0.053
Jamaica,2020,6.309,6.615,6.004,0.891,0.932,0.599,0.618,0.099,0.035
Jamaica,2019,5.89,6.126,5.653,0.779,1.408,0.788,0.553,0.116,0.03
Japan,2023,6.06,6.144,5.976,1.786,1.354,0.785,0.632,0.023,0.219
Japan,2022,6.129,6.211,6.047,1.825,1.396,0.622,0.556,0.009,0.207
Japan,2021,6.039,6.119,5.959,1.835,1.089,0.866,0.537,0.007,0.218
Japan,2020,5.94,6.02,5.861,1.389,0.949,0.838,0.504,0.02,0.192
Japan,2019,5.871,5.952,5.79,1.267,1.332,1.073,0.495,0.036,0.181
Jordan,2023,4.186,4.306,4.066,1.262,0.983,0.594,0.593,0.059,0.189
Jordan,2022,4.12,4.242,3.997,1.292,0.98,0.438,0.517,0.056,0.173
Jordan,2021,4.152,4.276,4.029,1.324,0.724,0.675,0.476,0.058,0.2
Jordan,2020,4.395,4.516,4.273,0.89,0.685,0.583,0.455,0.079,0.15
Jordan,2019,4.633,4.749,4.518,0.785,1.14,0.778,0.425,0.091,0.152
Kazakhstan,2023,6.188,6.278,6.097,1.622,1.457,0.556,0.733,0.149,0.12
Kazakhstan,2022,6.144,6.239,6.049,1.664,1.491,0.389,0.628,0.136,0.149
Kazakhstan,2021,6.234,6.33,6.138,1.668,1.22,0.611,0.584,0.134,0.157
Kazakhstan,2020,6.152,6.243,6.06,1.23,1.103,0.527,0.573,0.143,0.132
Kazakhstan,2019,6.058,6.143,5.973,1.123,1.453,0.699,0.497,0.154,0.11
Kenya,2023,4.47,4.595,4.344,1.037,0.895,0.353,0.519,0.282,0.069
Kenya,2022,4.487,4.616,4.357,1.051,0.881,0.19,0.418,0.291,0.055
Kenya,2021,4.543,4.683,4.403,1.032,0.605,0.401,0.44,0.322,0.082
Kenya,2020,4.607,4.747,4.466,0.603,0.508,0.385,0.483,0.375,0.073
Kenya,2019,4.583,4.716,4.45,0.476,0.905,0.536,0.519,0.394,0.067
Kosovo,2023,6.561,6.667,6.455,1.364,1.277,0.599,0.739,0.254,0.073
Kosovo,2022,6.368,6.485,6.25,1.374,1.269,0.372,0.639,0.275,0.045
Kosovo,2021,6.455,6.571,6.339,1.362,0.949,0.569,0.599,0.309,0.035
Kosovo,2020,6.372,6.487,6.257,0.937,0.807,0.483,0.593,0.356,0.014
Kosovo,2019,6.325,6.428,6.223,0.84,1.184,0.673,0.557,0.325,0.009
Kuwait,2023,6.951,7.06,6.843,1.845,1.364,0.661,0.827,0.2,0.172
Kuwait,2021,6.106,6.235,5.977,1.904,0.983,0.747,0.617,0.087,0.147
Kuwait,2020,6.106,6.235,5.977,1.461,0.857,0.58,0.591,0.12,0.13
Kuwait,2019,6.102,6.207,5.998,1.425,1.245,0.776,0.57,0.133,0.113
Kyrgyzstan,2023,5.714,5.795,5.632,1.054,1.477,0.588,0.834,0.225,0.03
Kyrgyzstan,2022,5.825,5.913,5.737,1.061,1.439,0.417,0.735,0.234,0.018
Kyrgyzstan,2021,5.828,5.916,5.741,1.069,1.109,0.638,0.693,0.208,0.025
Kyrgyzstan,2020,5.744,5.834,5.653,0.665,0.971,0.501,0.673,0.266,0.02
Kyrgyzstan,2019,5.542,5.627,5.456,0.513,1.341,0.681,0.615,0.301,0.03
'Lao PDR',2023,5.139,5.261,5.017,1.208,0.846,0.423,0.796,0.17,0.167
'Lao PDR',2022,5.111,5.269,4.952,1.232,0.853,0.257,0.715,0.185,0.162
'Lao PDR',2021,5.14,5.263,5.018,1.239,0.654,0.479,0.679,0.197,0.184
'Lao PDR',2020,5.03,5.119,4.941,0.808,0.598,0.33,0.643,0.268,0.179
'Lao PDR',2019,4.889,4.968,4.81,0.715,0.987,0.486,0.612,0.273,0.194
Latvia,2023,6.234,6.314,6.155,1.7,1.508,0.564,0.666,0.127,0.078
Latvia,2022,6.213,6.295,6.131,1.737,1.505,0.405,0.58,0.107,0.071
Latvia,2021,6.18,6.255,6.106,1.732,1.221,0.637,0.502,0.075,0.09
Latvia,2020,6.032,6.103,5.961,1.285,1.047,0.587,0.405,0.082,0.089
Latvia,2019,5.95,6.018,5.882,1.141,1.414,0.778,0.329,0.075,0.09
Lebanon,2023,2.707,2.797,2.616,1.377,0.577,0.556,0.173,0.068,0.029
Lebanon,2022,2.392,2.479,2.305,1.417,0.476,0.398,0.123,0.061,0.027
Lebanon,2021,2.955,3.049,2.862,1.392,0.498,0.631,0.103,0.082,0.034
Lebanon,2020,4.584,4.691,4.477,1.045,0.868,0.595,0.175,0.14,0.026
Lebanon,2019,4.772,4.857,4.686,0.889,1.192,0.789,0.186,0.159,0.022
Lesotho,2023,3.186,3.469,2.904,0.771,0.851,0,0.523,0.082,0.085
Lesotho,2021,3.512,3.748,3.276,0.839,0.848,0,0.419,0.076,0.018
Lesotho,2020,3.512,3.748,3.276,0.451,0.731,0.007,0.405,0.103,0.015
Lesotho,2019,3.653,3.814,3.492,0.455,1.089,0.101,0.409,0.103,0.05
Liberia,2023,4.269,4.474,4.063,0.619,0.673,0.301,0.546,0.178,0.075
Liberia,2022,4.042,4.325,3.76,0.628,0.644,0.141,0.471,0.219,0.071
Liberia,2021,5.122,5.428,4.815,0.636,0.67,0.309,0.405,0.178,0.08
Liberia,2020,4.625,4.833,4.417,0.228,0.58,0.253,0.43,0.221,0.057
Liberia,2019,4.558,4.719,4.397,0.174,0.921,0.392,0.406,0.227,0.051
Libya,2023,5.866,5.987,5.746,1.526,1.1,0.55,0.592,0.111,0.204
Libya,2021,5.33,5.543,5.118,1.476,0.943,0.606,0.477,0.106,0.179
Libya,2020,5.41,5.558,5.262,1.044,0.821,0.435,0.474,0.131,0.174
Libya,2019,5.489,5.608,5.37,1.022,1.196,0.616,0.451,0.143,0.172
Lithuania,2023,6.818,6.896,6.739,1.766,1.454,0.598,0.533,0.044,0.116
Lithuania,2022,6.763,6.849,6.677,1.808,1.511,0.432,0.487,0.059,0.089
Lithuania,2021,6.446,6.535,6.356,1.804,1.204,0.659,0.496,0.053,0.077
Lithuania,2020,6.255,6.344,6.167,1.35,1.065,0.612,0.476,0.056,0.073
Lithuania,2019,6.215,6.302,6.129,1.194,1.433,0.795,0.42,0.054,0.081
Luxembourg,2023,7.122,7.213,7.031,2.141,1.355,0.708,0.801,0.146,0.432
Luxembourg,2022,7.228,7.363,7.093,2.2,1.357,0.549,0.71,0.149,0.418
Luxembourg,2021,7.404,7.501,7.307,2.209,1.155,0.79,0.7,0.12,0.388
Luxembourg,2020,7.324,7.396,7.252,1.751,1.003,0.76,0.639,0.166,0.353
Luxembourg,2019,7.238,7.298,7.177,1.537,1.388,0.986,0.61,0.196,0.367
Macedonia,2019,5.16,5.251,5.068,0.935,1.183,0.803,0.41,0.186,0.025
Madagascar,2023,4.228,4.359,4.097,0.628,0.823,0.333,0.25,0.172,0.123
Madagascar,2022,4.019,4.199,3.839,0.632,0.779,0.178,0.187,0.177,0.134
Madagascar,2021,4.339,4.53,4.148,0.67,0.645,0.378,0.202,0.143,0.154
Madagascar,2020,4.208,4.349,4.068,0.266,0.503,0.341,0.207,0.185,0.087
Madagascar,2019,4.166,4.278,4.053,0.245,0.824,0.501,0.193,0.191,0.076
Malawi,2023,3.421,3.561,3.281,0.617,0.41,0.349,0.571,0.135,0.136
Malawi,2022,3.495,3.671,3.32,0.637,0.479,0.189,0.49,0.139,0.129
Malawi,2021,3.75,3.941,3.56,0.648,0.279,0.388,0.477,0.14,0.157
Malawi,2020,3.6,3.781,3.419,0.113,0.168,0.298,0.484,0.213,0.134
Malawi,2019,3.538,3.676,3.4,0.177,0.53,0.446,0.487,0.213,0.132
Malaysia,2023,5.975,6.078,5.872,1.646,1.143,0.54,0.829,0.226,0.119
Malaysia,2022,6.012,6.167,5.858,1.665,1.155,0.385,0.659,0.222,0.122
Malaysia,2021,5.711,5.845,5.578,1.689,0.938,0.62,0.654,0.213,0.126
Malaysia,2020,5.384,5.48,5.289,1.259,0.797,0.587,0.624,0.27,0.064
Malaysia,2019,5.384,5.48,5.289,1.168,1.174,0.789,0.597,0.275,0.062
Maldives,2020,5.198,5.339,5.057,1.115,1.015,0.697,0.575,0.204,0.073
Maldives,2019,5.198,5.339,5.057,0.938,1.402,0.914,0.548,0.224,0.072
Mali,2023,4.232,4.347,4.117,0.747,0.688,0.267,0.586,0.12,0.09
Mali,2022,4.198,4.319,4.076,0.763,0.637,0.106,0.441,0.121,0.059
Mali,2021,4.479,4.611,4.347,0.792,0.483,0.311,0.35,0.128,0.042
Mali,2020,4.723,4.884,4.563,0.387,0.59,0.11,0.384,0.164,0.072
Mali,2019,4.729,4.855,4.603,0.352,0.973,0.235,0.378,0.17,0.062
Malta,2023,6.346,6.43,6.261,1.827,1.444,0.707,0.727,0.25,0.125
Malta,2022,6.3,6.388,6.212,1.841,1.468,0.547,0.671,0.2,0.143
Malta,2021,6.447,6.535,6.359,1.838,1.169,0.789,0.679,0.174,0.166
Malta,2020,6.602,6.688,6.516,1.411,1.055,0.747,0.664,0.275,0.183
Malta,2019,6.773,6.857,6.689,1.253,1.443,0.972,0.633,0.341,0.179
Mauritania,2023,4.505,4.673,4.337,1.078,0.705,0.4,0.343,0.133,0.198
Mauritania,2022,4.724,5.011,4.437,1.099,0.764,0.244,0.32,0.13,0.195
Mauritania,2021,4.153,4.356,3.95,1.1,0.865,0.45,0.304,0.088,0.138
Mauritania,2020,4.227,4.365,4.09,0.666,0.749,0.273,0.218,0.119,0.133
Mauritania,2019,4.375,4.483,4.267,0.54,1.113,0.425,0.186,0.129,0.122
Mauritius,2023,5.816,5.927,5.706,1.57,1.358,0.49,0.641,0.123,0.118
Mauritius,2022,5.902,6.013,5.791,1.589,1.382,0.336,0.574,0.121,0.11
Mauritius,2021,6.071,6.184,5.958,1.591,1.116,0.568,0.589,0.131,0.107
Mauritius,2020,6.049,6.165,5.933,1.178,0.996,0.574,0.59,0.153,0.096
Mauritius,2019,6.101,6.213,5.989,1.074,1.396,0.763,0.591,0.187,0.084
Mexico,2023,6.678,6.781,6.575,1.521,1.241,0.544,0.722,0.086,0.127
Mexico,2022,6.33,6.441,6.218,1.55,1.169,0.389,0.632,0.086,0.115
Mexico,2021,6.128,6.238,6.017,1.552,0.886,0.623,0.621,0.092,0.115
Mexico,2020,6.317,6.42,6.213,1.126,0.83,0.634,0.585,0.092,0.089
Mexico,2019,6.465,6.559,6.371,1.024,1.226,0.832,0.554,0.083,0.083
Mongolia,2023,5.696,5.783,5.61,1.353,1.511,0.4,0.501,0.237,0.055
Mongolia,2022,5.84,5.93,5.75,1.379,1.494,0.244,0.425,0.239,0.058
Mongolia,2021,5.761,5.845,5.676,1.393,1.197,0.467,0.398,0.247,0.059
Mongolia,2020,5.677,5.76,5.595,0.966,1.065,0.442,0.397,0.263,0.053
Mongolia,2019,5.456,5.535,5.377,0.905,1.459,0.616,0.356,0.264,0.047
Montenegro,2023,5.707,5.815,5.599,1.571,1.318,0.587,0.632,0.11,0.132
Montenegro,2022,5.722,5.941,5.503,1.537,1.385,0.424,0.563,0.17,0.061
Montenegro,2021,5.547,5.681,5.413,1.573,1.023,0.659,0.46,0.135,0.077
Montenegro,2020,5.581,5.686,5.475,1.155,0.891,0.637,0.397,0.166,0.081
Montenegro,2019,5.546,5.642,5.45,1.01,1.266,0.839,0.303,0.149,0.098
Morocco,2023,4.795,4.912,4.677,1.213,0.471,0.495,0.631,0.042,0.082
Morocco,2022,4.903,5.023,4.783,1.236,0.535,0.337,0.54,0.013,0.085
Morocco,2021,5.06,5.181,4.938,1.208,0.268,0.565,0.492,0.02,0.102
Morocco,2020,4.918,5.036,4.8,0.792,0.219,0.558,0.477,0.034,0.088
Morocco,2019,5.095,5.204,4.986,0.759,0.645,0.745,0.45,0.04,0.077
Mozambique,2023,5.216,5.406,5.027,0.56,0.883,0.156,0.728,0.158,0.196
Mozambique,2022,4.954,5.181,4.727,0.57,0.885,0,0.625,0.161,0.192
Mozambique,2021,5.048,5.273,4.823,0.578,0.66,0.191,0.593,0.185,0.2
Mozambique,2020,4.794,4.997,4.592,0.183,0.634,0.196,0.608,0.228,0.163
Mozambique,2019,4.624,4.779,4.468,0.179,0.955,0.324,0.561,0.22,0.163
Myanmar,2023,4.354,4.501,4.208,0.978,0.988,0.436,0.45,0.401,0.174
Myanmar,2022,4.372,4.533,4.212,1.032,1.125,0.269,0.46,0.4,0.194
Myanmar,2021,4.394,4.511,4.277,1.038,0.829,0.491,0.513,0.452,0.194
Myanmar,2020,4.426,4.527,4.324,0.666,0.713,0.341,0.601,0.52,0.178
Myanmar,2019,4.308,4.392,4.224,0.678,1.098,0.495,0.597,0.57,0.188
Namibia,2023,4.832,4.958,4.705,1.266,1.212,0.307,0.47,0.069,0.061
Namibia,2022,4.631,4.766,4.496,1.289,1.126,0.145,0.383,0.069,0.071
Namibia,2021,4.459,4.593,4.326,1.292,0.877,0.354,0.384,0.067,0.071
Namibia,2020,4.574,4.7,4.448,0.882,0.801,0.262,0.411,0.091,0.059
Namibia,2019,4.571,4.691,4.452,0.84,1.246,0.407,0.445,0.076,0.054
Nepal,2023,5.158,5.29,5.027,0.965,0.99,0.443,0.653,0.209,0.115
Nepal,2022,5.36,5.507,5.214,0.979,1.027,0.281,0.567,0.215,0.104
Nepal,2021,5.377,5.502,5.251,0.984,0.784,0.499,0.519,0.237,0.13
Nepal,2020,5.269,5.406,5.132,0.519,0.702,0.496,0.488,0.287,0.135
Nepal,2019,5.137,5.25,5.024,0.444,1.101,0.669,0.481,0.301,0.128
Netherlands,2023,7.319,7.383,7.256,1.901,1.462,0.706,0.725,0.247,0.372
Netherlands,2022,7.403,7.46,7.346,1.942,1.488,0.545,0.672,0.251,0.394
Netherlands,2021,7.415,7.471,7.359,1.945,1.206,0.787,0.651,0.271,0.419
Netherlands,2020,7.464,7.518,7.41,1.501,1.079,0.753,0.647,0.302,0.384
Netherlands,2019,7.449,7.503,7.394,1.339,1.464,0.976,0.614,0.336,0.369
'New Zealand',2023,7.029,7.105,6.954,1.81,1.527,0.673,0.746,0.226,0.48
'New Zealand',2022,7.123,7.198,7.048,1.842,1.544,0.513,0.672,0.23,0.471
'New Zealand',2021,7.2,7.279,7.12,1.852,1.235,0.752,0.68,0.245,0.483
'New Zealand',2020,7.277,7.355,7.198,1.4,1.094,0.785,0.665,0.276,0.445
'New Zealand',2019,7.3,7.377,7.222,1.242,1.487,1.008,0.647,0.326,0.461
Nicaragua,2023,6.284,6.433,6.135,1.097,1.263,0.542,0.793,0.133,0.251
Nicaragua,2022,6.259,6.408,6.109,1.109,1.292,0.385,0.66,0.148,0.218
Nicaragua,2021,6.165,6.312,6.017,1.105,1.029,0.617,0.617,0.168,0.212
Nicaragua,2020,5.972,6.134,5.81,0.693,0.904,0.604,0.553,0.201,0.176
Nicaragua,2019,6.137,6.262,6.012,0.62,1.271,0.803,0.56,0.213,0.174
Niger,2023,4.556,4.712,4.401,0.573,0.677,0.293,0.615,0.145,0.147
Niger,2022,4.501,4.712,4.291,0.561,0.628,0.137,0.54,0.154,0.14
Niger,2021,5.003,5.247,4.76,0.57,0.56,0.326,0.571,0.165,0.145
Niger,2020,5.074,5.273,4.875,0.162,0.402,0.167,0.516,0.2,0.157
Niger,2019,4.91,5.061,4.758,0.108,0.704,0.299,0.435,0.208,0.138
Nigeria,2023,4.881,5.018,4.744,1.042,1.075,0.256,0.566,0.201,0.019
Nigeria,2022,4.981,5.136,4.825,1.065,1.007,0.092,0.448,0.176,0.013
Nigeria,2021,4.552,4.651,4.453,1.079,0.732,0.3,0.444,0.175,0.038
Nigeria,2020,4.759,4.861,4.658,0.663,0.625,0.051,0.433,0.212,0.039
Nigeria,2019,4.724,4.826,4.622,0.646,0.987,0.168,0.435,0.221,0.048
'North Cyprus',2021,5.467,5.609,5.325,1.815,0.888,0.819,0.523,0.13,0.213
'North Cyprus',2020,5.536,5.636,5.435,1.377,0.806,0.801,0.503,0.196,0.2
'North Cyprus',2019,5.536,5.636,5.435,1.213,1.183,1.026,0.478,0.199,0.2
'North Macedonia',2023,5.369,5.468,5.27,1.475,1.277,0.569,0.58,0.194,0.015
'North Macedonia',2022,5.254,5.361,5.146,1.498,1.171,0.408,0.515,0.207,0.02
'North Macedonia',2021,5.199,5.303,5.095,1.505,0.863,0.637,0.488,0.215,0.031
'North Macedonia',2020,5.101,5.202,5.001,1.068,0.772,0.535,0.45,0.212,0.022
Norway,2023,7.302,7.389,7.215,1.952,1.517,0.704,0.835,0.224,0.484
Norway,2022,7.315,7.402,7.229,1.994,1.521,0.544,0.752,0.212,0.463
Norway,2021,7.365,7.44,7.29,1.997,1.239,0.786,0.728,0.217,0.474
Norway,2020,7.392,7.462,7.323,1.543,1.108,0.782,0.703,0.249,0.427
Norway,2019,7.488,7.556,7.42,1.424,1.495,1.008,0.67,0.288,0.434
Pakistan,2023,4.657,4.779,4.535,1.069,0.6,0.321,0.542,0.144,0.074
Pakistan,2022,4.555,4.707,4.404,1.081,0.657,0.158,0.511,0.141,0.102
Pakistan,2021,4.516,4.634,4.397,1.049,0.413,0.374,0.448,0.181,0.112
Pakistan,2020,4.934,5.066,4.802,0.637,0.423,0.322,0.418,0.252,0.097
Pakistan,2019,5.693,5.788,5.599,0.617,0.873,0.47,0.405,0.229,0.123
Panama,2023,6.358,6.489,6.227,1.702,1.392,0.633,0.72,0.063,0.043
Panama,2022,6.265,6.424,6.105,1.714,1.402,0.475,0.63,0.065,0.036
Panama,2021,6.309,6.464,6.154,1.715,1.107,0.709,0.592,0.049,0.051
Panama,2020,6.18,6.323,6.036,1.298,0.976,0.667,0.596,0.079,0.053
Panama,2019,6.305,6.422,6.188,1.098,1.376,0.879,0.58,0.097,0.054
Paraguay,2023,5.977,6.085,5.868,1.398,1.408,0.549,0.788,0.131,0.065
Paraguay,2022,5.738,5.851,5.625,1.428,1.427,0.392,0.678,0.148,0.062
Paraguay,2021,5.578,5.689,5.467,1.409,1.13,0.624,0.629,0.171,0.059
Paraguay,2020,5.653,5.832,5.473,0.983,0.97,0.549,0.602,0.206,0.037
Paraguay,2019,5.692,5.794,5.59,0.898,1.368,0.736,0.587,0.204,0.065
Peru,2023,5.841,5.946,5.736,1.371,1.18,0.662,0.615,0.078,0.029
Peru,2022,5.526,5.64,5.412,1.39,1.153,0.499,0.549,0.073,0.027
Peru,2021,5.559,5.679,5.439,1.397,0.865,0.735,0.545,0.09,0.037
Peru,2020,5.84,5.988,5.692,0.986,0.833,0.623,0.536,0.087,0.031
Peru,2019,5.797,5.917,5.677,0.919,1.208,0.824,0.513,0.092,0.027
Philippines,2023,6.048,6.166,5.929,1.232,1.146,0.441,0.826,0.099,0.136
Philippines,2022,5.523,5.675,5.371,1.238,1.108,0.286,0.714,0.104,0.141
Philippines,2021,5.904,6.007,5.8,1.268,0.912,0.514,0.678,0.107,0.142
Philippines,2020,5.88,5.982,5.778,0.853,0.828,0.426,0.651,0.125,0.126
Philippines,2019,6.006,6.104,5.908,0.775,1.245,0.602,0.622,0.129,0.13
Poland,2023,6.442,6.513,6.37,1.738,1.417,0.639,0.6,0.081,0.175
Poland,2022,6.26,6.343,6.177,1.767,1.474,0.477,0.511,0.12,0.139
Poland,2021,6.123,6.205,6.04,1.758,1.174,0.712,0.523,0.124,0.14
Poland,2020,6.166,6.245,6.087,1.309,0.982,0.668,0.558,0.08,0.13
Poland,2019,6.186,6.256,6.117,1.169,1.31,0.868,0.558,0.063,0.161
Portugal,2023,6.03,6.134,5.925,1.728,1.368,0.699,0.757,0.047,0.035
Portugal,2022,5.968,6.076,5.86,1.758,1.356,0.537,0.693,0.031,0.037
Portugal,2021,6.016,6.122,5.911,1.76,1.078,0.777,0.655,0.016,0.039
Portugal,2020,5.929,6.037,5.821,1.323,0.939,0.76,0.621,0.029,0.033
Portugal,2019,5.911,6.015,5.807,1.169,1.34,0.979,0.59,0.053,0.028
'Republic of Korea',2023,6.058,6.148,5.968,1.815,1.178,0.77,0.555,0.126,0.158
'Republic of Korea',2022,5.951,6.04,5.862,1.853,1.188,0.603,0.446,0.112,0.163
'Republic of Korea',2021,5.935,6.021,5.849,1.851,0.886,0.841,0.414,0.111,0.176
'Republic of Korea',2020,5.845,5.928,5.763,1.403,0.758,0.801,0.353,0.134,0.135
'Republic of Korea',2019,5.872,5.959,5.786,1.245,1.134,1.023,0.259,0.17,0.095
'Republic of Moldova',2023,5.816,5.93,5.702,1.385,1.277,0.542,0.695,0.077,0.044
'Republic of Moldova',2022,5.819,5.922,5.717,1.425,1.302,0.375,0.61,0.093,0.02
'Republic of Moldova',2021,5.857,5.948,5.766,1.417,1.008,0.597,0.561,0.102,0.028
'Republic of Moldova',2020,5.766,5.856,5.677,0.985,0.888,0.542,0.536,0.137,0.013
'Republic of Moldova',2019,5.608,5.69,5.525,0.708,1.237,0.713,0.39,0.174,0.014
Romania,2023,6.491,6.592,6.39,1.699,1.236,0.583,0.717,0.041,0.006
Romania,2022,6.589,6.69,6.488,1.726,1.28,0.423,0.631,0.044,0
Romania,2021,6.477,6.575,6.379,1.719,1.006,0.655,0.605,0.039,0.006
Romania,2020,6.14,6.253,6.027,1.275,0.832,0.595,0.564,0.045,0.001
Romania,2019,6.124,6.217,6.031,1.12,1.194,0.792,0.535,0.068,0.001
'Russian Federation',2023,5.785,5.859,5.712,1.642,1.351,0.531,0.551,0.138,0.121
'Russian Federation',2022,5.661,5.734,5.588,1.68,1.383,0.366,0.449,0.12,0.091
'Russian Federation',2021,5.459,5.525,5.392,1.685,1.095,0.586,0.401,0.117,0.08
'Russian Federation',2020,5.477,5.541,5.413,1.241,0.992,0.511,0.409,0.115,0.06
