log_gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,val
0.330919,0.345845,0.475814,0.632334,0.553738,0.201905,0.124961
0.616116,0.707775,0.415128,0.890482,0.932243,0.104762,0.192085
0.626528,0.697721,0.276165,0.739244,0.985981,0.072381,0.187
0.649615,0.675603,0.502199,0.352021,0.549065,0.234286,0.150959
0.663196,0.652815,0.361478,0.241199,0.535047,0.247619,0.149903
0.638298,0.410858,0.564644,0.241199,0.563084,0.278095,0.147688
0.466274,0.287534,0.493404,0.233377,0.771028,0.274286,0.150515
0.465822,0.508043,0.658751,0.267275,0.647196,0.272381,0.152329
0.565414,0.581769,0.437995,0.428944,0.329439,0.091429,0.192441
0.5799,0.552949,0.28496,0.332464,0.313084,0.072381,0.188673
0.583522,0.371314,0.487247,0.302477,0.343458,0.087619,0.186574
0.411951,0.341823,0.335092,0.268579,0.357477,0.078095,0.182319
0.444545,0.591823,0.465259,0.245111,0.357477,0.139048,0.170109
0.963785,0.845845,0.615655,0.863103,0.478972,0.79619,0.30118
0.974196,0.869303,0.474055,0.730117,0.434579,0.779048,0.290911
0.963785,0.69571,0.685136,0.692308,0.443925,0.777143,0.264901
0.744228,0.646113,0.662269,0.664928,0.556075,0.699048,0.276996
0.655048,0.900134,0.858399,0.64146,0.689252,0.710476,0.281052
0.816206,0.928284,0.650836,0.710561,0.357477,0.367619,0.206814
0.829787,0.933646,0.507476,0.616688,0.28972,0.300952,0.207381
0.826618,0.732574,0.719437,0.615385,0.36215,0.272381,0.202669
0.622906,0.634048,0.693052,0.538462,0.485981,0.226667,0.20382
0.550475,0.854558,0.886544,0.423729,0.623832,0.190476,0.207665
0.814848,0.80429,0.633245,0.543677,0.261682,0.140952,0.400627
0.829335,0.829088,0.491645,0.445893,0.226636,0.12,0.408823
0.83024,0.619303,0.704485,0.411995,0.198598,0.112381,0.399096
0.630602,0.544236,0.701847,0.36897,0.310748,0.089524,0.406191
0.559529,0.817024,0.899736,0.293351,0.397196,0.07619,0.404119
0.579448,0.801609,0.498681,0.718383,0.207944,0.053333,0.271199
0.590765,0.80496,0.361478,0.640156,0.184579,0.074286,0.275049
0.586691,0.614611,0.568162,0.614081,0.186916,0.100952,0.285758
0.40335,0.538874,0.526825,0.680574,0.231308,0.066667,0.270887
0.352648,0.857909,0.693052,0.595828,0.271028,0.057143,0.264459
0.808511,0.821716,0.690413,0.698827,0.053738,0.417143,0.457978
0.826166,0.849866,0.547054,0.599739,0.021028,0.394286,0.425947
0.830693,0.644102,0.761653,0.574967,0.016355,0.415238,0.411314
0.628791,0.550268,0.737027,0.531943,0.046729,0.365714,0.410121
0.573563,0.806971,0.943712,0.520209,0.084112,0.344762,0.413105
0.571299,0.573056,0.522427,0.647979,0.13785,0.36,0.121113
0.58488,0.571046,0.385224,0.548892,0.130841,0.329524,0.119699
0.599366,0.399464,0.593668,0.495437,0.135514,0.380952,0.126222
0.402897,0.373324,0.512753,0.468057,0.184579,0.285714,0.118762
0.355364,0.678284,0.684257,0.428944,0.212617,0.289524,0.116281
0.734269,0.890751,0.489006,0.830508,0.348131,0.228571,0.162517
0.753282,0.913539,0.342128,0.693611,0.317757,0.28381,0.159103
0.755093,0.731903,0.537379,0.636245,0.313084,0.299048,0.179692
0.556813,0.653485,0.4635,0.621904,0.334112,0.251429,0.190589
0.508375,0.88807,0.614776,0.522816,0.359813,0.209524,0.185849
0.469443,0.514075,0.310466,0.551499,0.658879,0.131429,0.162273
0.475781,0.504692,0.167106,0.419817,0.679907,0.104762,0.157722
0.46718,0.319705,0.352682,0.448501,0.752336,0.15619,0.164956
0.272974,0.254692,0.33861,0.504563,0.876168,0.139048,0.149766
0.215482,0.520777,0.471416,0.551499,0.920561,0.127619,0.144834
0.83522,0.828418,0.581354,0.953064,0.46729,0.327619,0.071534
0.861928,0.573056,0.656992,0.67927,0.203271,0.28,0.067035
0.661385,0.488606,0.510114,0.645372,0.280374,0.247619,0.066956
0.645088,0.74866,0.682498,0.617992,0.310748,0.215238,0.07109
0.477139,0.904155,0.51715,0.96219,0.525701,0.057143,0.112327
0.480308,0.878686,0.366755,0.833116,0.546729,0.034286,0.103787
0.483929,0.657507,0.561126,0.778357,0.485981,0.047619,0.101732
0.301041,0.565013,0.440633,0.752282,0.621495,0.038095,0.100467
0.232232,0.813003,0.598945,0.676662,0.703271,0.057143,0.115513
0.769579,0.924933,0.496042,0.743155,0.296729,0.148571,0.448333
0.786329,0.922922,0.356201,0.63103,0.25,0.135238,0.457823
0.784065,0.732574,0.560246,0.529335,0.175234,0.171429,0.447715
0.581711,0.615952,0.516271,0.402868,0.191589,0.169524,0.439438
0.516523,0.86193,0.684257,0.303781,0.175234,0.171429,0.447199
0.473065,0.495979,0.523307,0.102999,0.327103,0.049524,0.284806
0.402445,0.713137,0.693931,0.11734,0.371495,0.041905,0.23571
0.349027,0.484584,0.0,0.556714,0.191589,0.161905,0.171759
0.37981,0.482574,0.0,0.421121,0.17757,0.034286,0.151408
0.204165,0.404155,0.006157,0.402868,0.240654,0.028571,0.143002
0.205976,0.644102,0.08883,0.408083,0.240654,0.095238,0.146541
0.280217,0.365282,0.264732,0.586701,0.415888,0.142857,0.16845
0.284292,0.345845,0.124011,0.488918,0.511682,0.135238,0.159702
0.287913,0.363271,0.271768,0.402868,0.415888,0.152381,0.159799
0.103214,0.302949,0.222515,0.435463,0.516355,0.108571,0.142532
0.078769,0.531501,0.344767,0.404172,0.530374,0.097143,0.136851
0.69081,0.651475,0.483729,0.646675,0.259346,0.388571,0.177995
0.668176,0.546247,0.532982,0.496741,0.247664,0.340952,0.19282
0.472612,0.464477,0.382586,0.492829,0.306075,0.331429,0.173945
0.462653,0.715818,0.541777,0.462842,0.334112,0.327619,0.165552
0.799457,0.88874,0.525945,0.569752,0.102804,0.220952,0.433264
0.81847,0.926944,0.379947,0.509778,0.13785,0.169524,0.436198
0.816659,0.72118,0.579595,0.521512,0.123832,0.146667,0.435184
0.611136,0.628016,0.538259,0.495437,0.130841,0.139048,0.450739
0.540516,0.874665,0.699208,0.422425,0.126168,0.154286,0.458165
0.969217,0.822386,0.622691,0.919166,0.341121,0.822857,0.27111
0.995926,0.823727,0.48285,0.800522,0.348131,0.79619,0.25937
1.0,0.688338,0.694811,0.787484,0.280374,0.739048,0.260387
0.792666,0.586461,0.668426,0.707953,0.38785,0.672381,0.269466
0.69579,0.844504,0.867194,0.670143,0.457944,0.699048,0.281084
0.284292,0.465818,0.292876,0.200782,0.401869,0.234286,0.199457
0.286102,0.436327,0.156552,0.118644,0.413551,0.255238,0.189998
0.303305,0.346515,0.332454,0.138201,0.334112,0.293333,0.17268
0.120416,0.25134,0.299912,0.14472,0.432243,0.165714,0.16142
0.11091,0.466488,0.440633,0.126467,0.446262,0.144762,0.161911
0.279312,0.189008,0.306948,0.619296,0.315421,0.259048,0.227039
0.288366,0.235255,0.166227,0.51369,0.324766,0.245714,0.219726
0.293345,0.101206,0.341249,0.496741,0.327103,0.299048,0.23483
0.051154,0.02681,0.262093,0.505867,0.497664,0.255238,0.200899
0.080127,0.269437,0.39226,0.509778,0.497664,0.251429,0.201839
0.745134,0.680295,0.474934,0.955671,0.528037,0.226667,0.180009
0.753735,0.688338,0.33861,0.734029,0.518692,0.232381,0.18396
0.764599,0.542895,0.545295,0.72751,0.497664,0.24,0.16886
0.569941,0.448391,0.516271,0.688396,0.630841,0.121905,0.158961
0.528746,0.701072,0.693931,0.653194,0.642523,0.118095,0.159091
0.504753,0.594504,0.613017,0.624511,0.476636,0.139048,0.07992
0.424627,0.853887,0.80387,0.589309,0.523364,0.137143,0.0806
0.338162,0.375335,0.234828,0.638853,0.280374,0.171429,0.151867
0.345405,0.341153,0.093228,0.449804,0.28271,0.112381,0.146998
0.358533,0.237936,0.273527,0.33116,0.299065,0.08,0.139409
0.175192,0.309651,0.096746,0.375489,0.383178,0.137143,0.132912
0.159348,0.566354,0.206684,0.367666,0.397196,0.118095,0.134992
0.827071,0.882038,0.621812,0.822686,0.584112,0.238095,0.264516
0.833409,0.898123,0.481091,0.749674,0.46729,0.272381,0.27196
0.832051,0.697721,0.693931,0.760104,0.406542,0.31619,0.275465
0.638751,0.621314,0.656992,0.740548,0.642523,0.348571,0.28007
0.567225,0.881367,0.854881,0.70013,0.796729,0.340952,0.289005
0.488004,0.386729,0.351803,0.322034,0.310748,0.377143,0.151546
0.49751,0.426273,0.2146,0.292047,0.303738,0.371429,0.14364
0.497963,0.493968,0.395778,0.271186,0.205607,0.262857,0.130592
0.301494,0.41622,0.240106,0.159061,0.278037,0.253333,0.122454
0.244455,0.660188,0.373791,0.11734,0.301402,0.232381,0.125582
0.710729,0.824397,0.430959,0.710561,0.287383,0.224762,0.231588
0.71933,0.840483,0.295515,0.623207,0.28271,0.209524,0.219965
0.720235,0.662198,0.49956,0.642764,0.306075,0.20381,0.205452
0.533273,0.581769,0.504837,0.644068,0.357477,0.182857,0.207648
0.486193,0.849866,0.671064,0.645372,0.436916,0.16,0.205936
0.688547,0.745979,0.478452,0.816167,0.200935,0.241905,0.151354
0.701675,0.697721,0.342128,0.698827,0.200935,0.219048,0.148991
0.70258,0.508043,0.547933,0.684485,0.214953,0.219048,0.152642
0.509733,0.470509,0.557608,0.637549,0.214953,0.169524,0.149171
0.463558,0.735925,0.73175,0.597132,0.193925,0.158095,0.148383
0.612494,0.926944,0.351803,0.528031,0.553738,0.104762,0.286024
0.624264,0.91555,0.2146,0.428944,0.558411,0.110476,0.291106
0.630602,0.716488,0.41073,0.393742,0.577103,0.112381,0.285564
0.437302,0.628016,0.388742,0.392438,0.614486,0.100952,0.260413
0.409688,0.892091,0.541777,0.338983,0.616822,0.089524,0.26616
