year,ladder_score,upperwhisker,lowerwhisker,log_gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,val
2019,0.453683,0.466208,0.441429,0.287008,0.422252,0.402814,0.3794,0.273364,0.226667,0.11991
2023,0.817,0.822069,0.812245,0.706655,0.83445,0.581354,0.91395,0.254673,0.234286,0.219889
2022,0.745616,0.750939,0.740204,0.718425,0.812332,0.442392,0.765319,0.231308,0.220952,0.205794
2021,0.740045,0.745307,0.734898,0.717067,0.620643,0.654354,0.736636,0.207944,0.194286,0.190925
2020,0.84052,0.848769,0.832653,0.513354,0.561662,0.635004,0.752282,0.245327,0.158095,0.18477
2019,0.851248,0.855027,0.847755,0.444092,0.835791,0.826737,0.715776,0.306075,0.182857,0.189679
2023,0.608005,0.612641,0.603469,0.774106,0.882708,0.560246,0.48631,0.149533,0.081905,0.476224
2022,0.64576,0.652274,0.639388,0.781802,0.88941,0.417766,0.526728,0.203271,0.005714,0.484387
2021,0.64576,0.650605,0.641224,0.771842,0.707105,0.623571,0.57236,0.254673,0.0,0.480026
2020,0.595626,0.597622,0.593469,0.56632,0.61059,0.618294,0.46545,0.259346,0.0,0.484321
2019,0.517846,0.515019,0.520612,0.502037,0.792895,0.792436,0.371578,0.266355,0.022857,0.490708
2023,0.634,0.640801,0.627347,0.812132,0.729893,0.654354,0.564537,0.28972,0.093333,0.265849
2022,0.646792,0.652065,0.641633,0.825713,0.734584,0.510114,0.468057,0.242991,0.095238,0.282964
2021,0.665566,0.669587,0.661633,0.821639,0.523458,0.720317,0.458931,0.287383,0.118095,0.283005
2020,0.665979,0.669378,0.662857,0.623359,0.426944,0.704485,0.479791,0.415888,0.11619,0.275657
2019,0.652775,0.656654,0.64898,0.549117,0.684316,0.902375,0.473272,0.53271,0.097143,0.278727
2023,0.789561,0.791197,0.787959,0.807153,0.926944,0.561126,0.900913,0.413551,0.129524,0.380314
2022,0.794306,0.797038,0.791633,0.82526,0.949062,0.419525,0.778357,0.369159,0.095238,0.401823
2021,0.809779,0.81748,0.802245,0.821639,0.758713,0.628848,0.735332,0.369159,0.091429,0.408451
2020,0.819063,0.824364,0.813878,0.62019,0.644772,0.618294,0.63103,0.121495,0.087619,0.418944
2019,0.807922,0.810388,0.80551,0.548665,0.855898,0.787159,0.53455,0.107477,0.095238,0.418424
2022,0.947184,0.950563,0.944082,0.8823,0.951743,0.472296,0.831812,0.485981,1.0,0.433679
2020,0.954198,0.954735,0.953469,0.679946,0.656836,0.671064,0.769231,0.485981,0.92381,0.412092
2019,0.959563,0.959741,0.959184,0.600724,0.921582,0.861038,0.741851,0.567757,0.942857,0.420378
2023,0.583454,0.595953,0.571224,0.686736,0.766756,0.449428,0.826597,0.200935,0.373333,0.194066
2022,0.53105,0.542762,0.519592,0.695337,0.736595,0.308707,0.687093,0.193925,0.371429,0.188575
